domain,tagSize,tidSize,xdrSize,tagRatio,xdrRatio,tagDistribute,xdrDistribute,upPktSize,downPktSize,upFluxSize,downFluxSize,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_comm
transgd.com.cn,6,6,6,6,6,1,1,6,6,240,432,40,72,112,112,1
googlesyndication.com,28,86,789,9.116279071,9.373891001,3.071428571,9.174418605,11983,15682,1937392,13268521,161.6783777,846.0987757,176812.9419,19272.38657,-1
wlanbanlv.com,1,1,15,1,0.066666667,1,15,124,113,28858,14603,232.7258065,129.2300885,43461,2897.4,-1
peel-prod.com,1,1,9,1,0.111111111,1,9,128,104,18009,43107,140.6953125,414.4903846,61116,6790.666667,-1
zhimoo.com,3,18,1148,0.5,0.282229965,6,63.77777778,38487,23474,2338865,1832302,60.77026009,78.05665843,231731.5,3633.420732,1
51daoshang.com,1,1,2,1,0.5,1,2,14,11,1101,637,78.64285714,57.90909091,1738,869,-1
haascloud.cn,2,5,600,0.8,0.041666667,2.5,120,13652,7753,709376,483980,51.96132435,62.42486779,238671.2,1988.926667,1
bb164.com,1,1,30,1,0.033333333,1,30,2406,3115,145741,3850134,60.57398171,1235.998074,3995875,133195.8333,-1
rokyinfo.net,3,233,15420,0.038626609,3.520687419,77.66666667,66.18025751,300440,172471,31113904,9858752,103.5611237,57.16179532,175848.309,2657.111284,-1
irichpay.com,1,1,3,1,0.333333333,1,3,787,1335,42468,1861450,53.96188056,1394.344569,1903918,634639.3333,1
jerbio.com,1,3,95,0.333333333,0.094736842,3,31.66666667,3933,3582,267197,192768,67.93719807,53.81574539,153321.6667,4841.736842,1
120askimages.com,14,16,137,12.25,1.868613139,1.142857143,8.5625,2821,3091,231338,3206105,82.00567175,1037.238758,214840.1875,25090.82482,-1
xj-online.com,7,331,1808,0.148036254,60.59789823,47.28571429,5.46223565,22168,16209,1454784,2534923,65.62540599,156.3898451,12053.49547,2206.69635,1
dellsupportcenter.com,1,2,8,0.5,0.5,2,4,56,44,5878,12990,104.9642857,295.2272727,9434,2358.5,-1
llnwd.net,2,2,9,2,0.444444444,1,4.5,164,179,12475,97242,76.06707317,543.2513966,54858.5,12190.77778,-1
battlenet.com.cn,2,4,122,1,0.131147541,2,30.5,661,774,45320,439015,68.56278366,567.2028424,121083.75,3969.959016,-1
greenwhale.cn,1,1,1,1,1,1,1,1,1,40,58,40,58,98,98,1
crittercism.com,1,1,8,1,0.125,1,8,78,63,25641,27430,328.7307692,435.3968254,53071,6633.875,-1
line-scdn.net,91,151,967,54.84105961,23.57911065,1.659340659,6.40397351,2965,324,197604,12960,66.6455312,40,1394.463576,217.7497415,-1
jlmgps.com,31,173,9221,5.554913295,3.245743412,5.580645161,53.30057803,124195,100113,13352618,6110937,107.5133298,61.04039435,112506.0983,2110.785707,-1
soso.com,5,5,52,5,0.480769231,1,10.4,275,173,36299,23711,131.9963636,137.0578035,12002,1154.038462,-1
topchitu.com,1,1,34,1,0.029411765,1,34,68,0,3774,0,55.5,0,3774,111,-1
google.com,428,4230,190084,43.30591017,94.13154184,9.88317757,44.93711584,599639,37950,43584003,18669689,72.68373638,491.9549144,14717.18487,327.5062183,-1
oksusu.com,1,5,106,0.2,0.235849057,5,21.2,1177,1291,129112,1306061,109.6958369,1011.66615,287034.6,13539.36792,-1
17sxin.com,2,53,3018,0.075471698,0.93074884,26.5,56.94339623,10411,6361,640770,384901,61.54740179,60.50951108,19352.28302,339.851226,-1
5ifund.com,2,2,24,2,0.166666667,1,12,228,159,21919,67207,96.13596491,422.6855346,44563,3713.583333,-1
9now.net,1,3,261,0.333333333,0.034482759,3,87,13874,8243,742344,454308,53.50612657,55.1144001,398884,4584.873563,1
kuaishoupay.com,3,4,17,2.250000001,0.941176471,1.333333333,4.25,203,186,25324,84024,124.7487685,451.7419355,27337,6432.235294,-1
pussl48.com,1,1,3,1,0.333333333,1,3,14,13,4510,4719,322.1428571,363,9229,3076.333333,-1
diangon.com,1,1,7,1,0.142857143,1,7,243,341,14094,193854,58,568.4868035,207948,29706.85714,-1
quyuedu.info,1,1,1,1,1,1,1,4,3,417,568,104.25,189.3333333,985,985,-1
tx-cdn.com,1,1,15,1,0.066666667,1,15,78,57,10263,6148,131.5769231,107.8596491,16411,1094.066667,-1
cddbp.net,1,1,8,1,0.125,1,8,41,42,9217,15192,224.804878,361.7142857,24409,3051.125,-1
praxair.com.cn,3,5,424,1.8,0.058962264,1.666666667,84.8,1759,1540,73647,63686,41.86867538,41.35454545,27466.6,323.8985849,1
pushnotifs.com,2,2,19,2,0.210526316,1,9.5,188,185,20349,55502,108.2393617,300.0108108,37925.5,3992.157895,-1
trafficmanager.net,3,4,47,2.250000001,0.340425532,1.333333333,11.75,1243,992,359187,691000,288.9678198,696.5725806,262546.75,22344.40426,-1
itc.cn,13,16,60,10.5625,4.266666667,1.230769231,3.75,7571,21509,357025,29320610,47.15691454,1363.178669,1854852.188,494627.25,-1
newrelic.com,4,17,133,0.941176471,2.172932331,4.25,7.823529412,1599,1744,315982,1012224,197.6122577,580.4036697,78129.76471,9986.511278,-1
yq1d.com,3,17,1224,0.529411765,0.236111111,5.666666667,72,12345,12084,1071111,587734,86.76476306,48.63737173,97579.11765,1355.265523,1
gentags.net,11,12,26,10.08333333,5.538461538,1.090909091,2.166666667,265,205,33644,71648,126.9584906,349.502439,8774.333333,4049.692308,-1
niiwoo.com,1,2,8,0.5,0.5,2,4,89,78,20489,47923,230.2134831,614.3974359,34206,8551.5,-1
