domain1,tags,tids,xs,tagRatio,xdrRatio,tagDistribute,xdrDistribute,ups,dps,ubs,dbs,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_main,domain0
s6.dianhua.cn,39,40,228,38.025,7.01754386,1.025641026,5.7,14820,20466,867949,26993464,58.56605938,1318.941855,696535.325,122199.1798,0,dianhua.cn
assistant-express.vivo.com.cn,3,3,10,3,0.9,1,3.333333333,79,63,12752,32450,161.4177215,515.0793651,15067.33333,4520.2,0,vivo.com.cn
api.joyoung.com,3,199,780,0.045226131,50.77051282,66.33333333,3.91959799,4977,3827,373960,600830,75.13763311,156.9976483,4898.442211,1249.730769,-1,joyoung.com
mp.uc.cn,26,26,106,26,6.377358491,1,4.076923077,1077,918,136049,356615,126.3221913,388.4694989,18948.61538,4647.773585,0,uc.cn
igpscloud.baojia.com,7,296,30822,0.165540541,2.842644864,42.28571429,104.1283784,398934,254590,22262487,11697052,55.80493766,45.94466397,114728.1723,1101.795438,0,baojia.com
lbs.netease.im,31,31,157,31,6.121019108,1,5.064516129,1238,970,125319,414727,101.226979,427.5536082,17420.83871,3439.783439,-1,netease.im
labi.qq.com,51,52,155,50.01923077,17.44516129,1.019607843,2.980769231,29017,40281,2572912,43735850,88.669125,1085.768725,890553.1154,298766.2065,1,qq.com
www.bdgps168.com,3,22,22,0.409090909,22,7.333333333,1,189,164,16503,9502,87.31746032,57.93902439,1182.045455,1182.045455,-1,bdgps168.com
data.microsoft.com,19,29,309,12.44827586,2.721682848,1.526315789,10.65517241,4038,3529,1422006,1230898,352.1560178,348.7951261,91479.44828,8585.449838,-1,microsoft.com
api-log.wemakeprice.com,1,4,8,0.25,2,4,2,39,34,9513,5035,243.9230769,148.0882353,3637,1818.5,-1,wemakeprice.com
w.alikunlun.net,38,38,255,38,5.662745098,1,6.710526316,2658,4796,176384,4240958,66.35966892,884.2698082,116245.8421,17322.9098,-1,alikunlun.net
point-analytics.ecarx.com.cn,2,9,223,0.444444444,0.3632287,4.5,24.77777778,633,426,182232,128827,287.8862559,302.4107981,34562.11111,1394.883408,0,ecarx.com.cn
s32.cnzz.com,71,76,427,66.32894737,13.52693208,1.070422535,5.618421053,5300,4732,447801,3059031,84.49075472,646.4562553,46142.52632,8212.721311,1,cnzz.com
static.udache.com,4,4,15,4,1.066666667,1,3.75,855,1049,44453,1336710,51.99181287,1274.270734,345290.75,92077.53333,-1,udache.com
ws.ksmobile.net,10,15,37,6.666666667,6.081081081,1.5,2.466666667,1424,1923,87615,2210962,61.52738764,1149.74623,153238.4667,62123.7027,-1,ksmobile.net
all.allseller.cn,3,146,7693,0.061643836,2.770830625,48.66666667,52.69178082,220441,123579,18952383,6638880,85.97485495,53.72174884,175282.6233,3326.564799,0,allseller.cn
urlsafe.baidu.com,2,2,5,2,0.8,1,2.5,21,16,5347,2438,254.6190476,152.375,3892.5,1557,1,baidu.com
m.jiankang.com,1,1,1,1,1,1,1,8,8,629,5077,78.625,634.625,5706,5706,-1,jiankang.com
mimgnews2.naver.net,1,6,70,0.166666667,0.514285714,6,11.66666667,618,937,59031,971178,95.51941748,1036.475987,171701.5,14717.27143,-1,naver.net
userapi.feidee.net,1,1,2,1,0.5,1,2,20,12,2960,9212,148,767.6666667,12172,6086,-1,feidee.net
yun.wpscdn.cn,1,1,1,1,1,1,1,107,117,4965,153905,46.40186916,1315.42735,158870,158870,-1,wpscdn.cn
zj1.zjyypt.net,2,3,96,1.333333333,0.09375,1.5,32,3797,2159,291052,142893,76.65314722,66.18480778,144648.3333,4520.260417,0,zjyypt.net
i1.itc.cn,8,9,52,7.111111111,1.557692308,1.125,5.777777778,7406,21324,344959,29204562,46.57831488,1369.563028,3283280.111,568260.0192,1,itc.cn
idm.skplanet.com,1,12,63,0.083333333,2.285714286,12,5.25,417,326,95544,75309,229.1223022,231.0092025,14237.75,2711.952381,-1,skplanet.com
ie.2345.com,3,3,17,3,0.529411765,1,5.666666667,97,78,28450,7783,293.2989691,99.78205128,12077.66667,2131.352941,-1,2345.com
p58-keyvalueservice.icloud.com,1,1,1,1,1,1,1,7,5,328,300,46.85714286,60,628,628,1,icloud.com
pmangplus.com,1,1,5,1,0.2,1,5,71,67,9277,40978,130.6619718,611.6119403,50255,10051,-1,pmangplus.com
timg01.bdimg.com,2,2,50,2,0.08,1,25,1209,1711,220191,1447754,182.1265509,846.1449445,833972.5,33358.9,1,bdimg.com
