一级域名,端口,业务名称,终端数,tac数,话单数,上行流量,下行流量,上行包数,下行包数
007gps.com,7700,深圳市科盟技术有限公司GPS定位平台,2,2,66,251941,213640,4142,4112
www.350gps.cn,8881,5号风控|金融车贷GPS定位系统,25,8,27,16828,6242,184,94
www.350gps.cn,8883,5号风控|金融车贷GPS定位系统,2,1,118,89986,57314,1403,922
waimai.bjguntong.com,8806,滚通华业-条码扫描;条码打印;票据打印;商超收款,9,2,1237,1111588,872704,19012,10989
spork-netbee.blibee.com,9998,便利蜂,8,1,854,10517189,2523939,63052,46344
stat.blibee.com,443,便利蜂,9,1,6762,9525336,15926324,46902,36954
mqtt.bluegogo.com,1883,小蓝单车,1,1,192,19956,10899,475,258
appstoreapi.bydauto.com.cn,9998,比亚迪,28,2,346,1763662,469031,2674,2443
icar.bydauto.com.cn,443,比亚迪,74,1,436,1712648,2388602,8726,4942
liuliangapiinterface.bydauto.com.cn,8090,比亚迪,142,2,1810,921465,645753,6496,3760
ota.bydauto.com.cn,10888,比亚迪,15,1,50,6060,0,101,0
romupgradeapi.bydauto.com.cn,9998,比亚迪,26,1,89,81073,38882,386,341
mpay.calliance.com.cn,0,嘉联支付,17,9,442,17172,0,477,0
mpay.calliance.com.cn,8393,嘉联支付,11,7,58,46879,33384,442,303
cdg.cama-e.com,5007,凯迈充电桩,48,2,5003,6761996,4961014,61960,98925
cdg.cama-e.com,65401,凯迈充电桩,2,1,1678,80544,67120,1678,1678
www.capcare.com.cn,60004,步关爱位置服务平台,37,5,2481,2681030,826628,15457,15429
api.cdzhisheng.com,8980,易扫付充电站,3,2,453,329388,265346,7331,6017
cdlink.chargedot.com,8001,联桩新能源,18,9,19,1216,760,19,19
cdlink.chargedot.com,8003,联桩新能源,3,2,374,816551,454681,14302,7602
bs.cheerzing.com,8089,骐俊物联,4,1,13,6315,6534,70,56
fotav3.cheerzing.com,23177,骐俊物联,402,5,585,249305,154252,3590,2423
easybike.cheyaoshi.com,12000,车钥匙,9,7,491,233208,120584,2564,1816
arrowio.cmcm.com,80,小豹AI音箱,1,1,4,3699,5613,28,20
cloud.cmcm.com,80,小豹AI音箱,1,1,14,4021,4767,68,54
cloud.cmcm.com,443,小豹AI音箱,1,1,4,3233,15025,34,25
cm.cmcm.com,80,小豹AI音箱,22,8,457,163764,175983,1925,795
cms.cmcm.com,80,小豹AI音箱,2,2,32,8789,3252,101,35
ironman.cmcm.com,80,小豹AI音箱,23,9,588,280791,69938,1648,740
lbmini.cmcm.com,443,小豹AI音箱,2,2,6,141061,10331710,2583,8306
magic.cmcm.com,80,小豹AI音箱,3,1,4,3493,1356,23,12
ms.cmcm.com,443,小豹AI音箱,16,6,155,335799,809413,2301,1802
rule.cmcm.com,80,小豹AI音箱,7,6,43,19595,27827,265,181
lwzj.coldwang.com,11011,冷王科技-疫苗冷链 ,14,5,2817,1650289,1248954,14277,12333
lwzj.coldwang.com,11102,冷王科技-疫苗冷链 ,1,1,2,541,512,9,9
applog.mobike.com,80,摩拜单车,5,5,40,175927,11395,271,204
applog.mobike.com,443,摩拜单车,1,1,2,4918,8474,25,20
bikeapi.mobike.com,9009,摩拜单车,54,11,167,1318046,4477565,16071,15995
bikeapi.mobike.com,9999,摩拜单车,408041,91,17528462,3890469415,3452886871,62577587,63671752
bikereg.mobike.com,443,摩拜单车,10,10,273,596686,1183950,3282,2811
bikereg.mobike.com,9999,摩拜单车,442,14,1923,997707,669456,14376,14141
lwx.mobike.com,443,摩拜单车,9,9,184,347948,786841,2049,1698
lwx.mobike.com,9999,摩拜单车,1,1,3,2572,1685,37,35
m.mobike.com,443,摩拜单车,1,1,1,3875,20029,34,38
mqtt.mobike.com,1883,摩拜单车,1,1,6,5927,4438,113,90
api.mo-huan.com,10086,TCL魔环,6,1,22,1080728,69562,1462,1153
api.mo-huan.com,30008,TCL魔环,900,16,52327,57224596,19857570,492141,344774
api.mo-huan.com,30011,TCL魔环,50,5,3265,2341190,896256,25762,15071
api.mo-huan.com,30208,TCL魔环,39,3,2459,2015921,748443,20789,12832
appstore.morefun-et.com,80,建魔方无线POS,803,16,1039,684767,3980264,7157,7455
api.ofo.com,80,ofo小黄车,1,1,4,7296,3938,28,20
api.ofo.com,443,ofo小黄车,5,5,79,213499,354719,1035,991
lock.ofo.com,80,ofo小黄车,1361,1,3154,3525804,2140881,18491,19053
lock.ofo.com,38383,ofo小黄车,13,7,749,617779,372978,9679,5285
logserver.ofo.com,443,ofo小黄车,4,4,212,1308282,371373,3050,2496
ma.ofo.com,443,ofo小黄车,3,3,10,56541,45569,209,185
ofo-misc.ofo.com,80,ofo小黄车,1,1,5,8369,99333,41,90
ofo-misc.ofo.com,443,ofo小黄车,1,1,1,2008,4841,13,13
ofoyun.ofo.com,443,ofo小黄车,2,2,19,51237,41937,180,157
supportda.ofo.com,443,ofo小黄车,2,2,6,23245,25484,142,132
gsm.ofo.so,80,ofo小黄车,601375,35,1440131,1217460753,958857278,8978435,9844048
gsm.ofo.so,443,ofo小黄车,1,1,2,4312,4098,29,35
gsmdemo.ofo.so,443,ofo小黄车,1411,5,5719,10257648,33156355,83705,87205
scofo.ofo.so,8443,ofo小黄车,3,3,26,78117,48049,263,186
testonline.ofo.so,80,ofo小黄车,5,3,7,3844,3252,42,29
zlslive.ofo.so,9603,ofo小黄车,145,1,13541,10703121,5112405,102026,59107
gm02.szdatasource.com,8005,汽车在线位置服务专家,1,1,174,19888,0,352,0
gm02.szdatasource.com,8821,汽车在线位置服务专家,401,39,6312,5765237,3725716,74808,61972
gm02.szdatasource.com,8841,汽车在线位置服务专家,4338,129,170413,132517585,82092881,1779866,1448854
gm02.szdatasource.com,9888,汽车在线位置服务专家,2325,13,7095,2300844,2059648,38653,36871
gm02.szdatasource.com,9999,汽车在线位置服务专家,2,1,21,25284,15062,291,281
gm02a.szdatasource.com,8005,汽车在线位置服务专家,1,1,226,25792,0,458,0
gm02a.szdatasource.com,8821,汽车在线位置服务专家,4717,49,162327,193548736,108944376,2374025,2004459
gm02a.szdatasource.com,8841,汽车在线位置服务专家,3959,129,138521,115897513,72297414,1540819,1266182
gm02a.szdatasource.com,9888,汽车在线位置服务专家,2349,13,7592,2497088,2191456,42013,39323
gm02a.szdatasource.com,9999,汽车在线位置服务专家,5,1,119,75874,29316,868,522
gm02e.szdatasource.com,8005,汽车在线位置服务专家,1,1,156,17696,0,314,0
gm02e.szdatasource.com,8821,汽车在线位置服务专家,1755,45,24210,27908826,16349199,343089,293179
gm02e.szdatasource.com,8827,汽车在线位置服务专家,3,2,144,74089,46394,1196,740
gm02e.szdatasource.com,8841,汽车在线位置服务专家,4266,137,119391,93024166,58623929,1252311,1025880
gm02e.szdatasource.com,9999,汽车在线位置服务专家,3,1,40,68469,39714,789,741
gt02e.szdatasource.com,8005,汽车在线位置服务专家,1,1,168,19120,0,341,0
gt02e.szdatasource.com,8821,汽车在线位置服务专家,350,40,5028,4342431,2808540,56177,46510
gt02e.szdatasource.com,8841,汽车在线位置服务专家,4378,136,135739,107976096,67430776,1445333,1180625
gt02e.szdatasource.com,9888,汽车在线位置服务专家,2348,14,7545,2469248,2182796,41622,39122
gt02e.szdatasource.com,9999,汽车在线位置服务专家,2,1,20,31281,17581,369,327
btcp.ttbike.com.cn,12000,车钥匙,48,35,1796,854136,401764,11053,7355
btcp2.ttbike.com.cn,12000,车钥匙,269,20,24567,7320900,4485368,117293,69639
btcp3.ttbike.com.cn,12000,车钥匙,2933,17,288863,86525668,53570664,1385129,833755
btcp4.ttbike.com.cn,12000,车钥匙,706,12,59216,17886552,11071780,286228,172593
btcp5.ttbike.com.cn,12000,车钥匙,2099,16,208197,62147900,38354488,995355,596086
btcp6.ttbike.com.cn,12000,车钥匙,24636,20,2521494,760851180,474793672,12178317,7405713
btcp7.ttbike.com.cn,12000,车钥匙,39771,69,3989111,1206389592,753107344,19316205,11735932
ebtcp.ttbike.com.cn,16000,车钥匙,54,6,5668,2650336,1289056,34682,19672
