domain1,tags,tids,xs,tagRatio,xdrRatio,tagDistribute,xdrDistribute,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_main,domain0
labi.qq.com,51,52,155,50.01923077,17.44516129,1.019607843,2.980769231,88.669125,1085.768725,890553.1154,298766.2065,1,qq.com
s32.cnzz.com,71,76,427,66.32894737,13.52693208,1.070422535,5.618421053,84.49075472,646.4562553,46142.52632,8212.721311,1,cnzz.com
gamesafe.qq.com,66,69,855,63.13043478,5.568421053,1.045454545,12.39130435,603.8867604,64.16656699,229730.0725,18539.61988,1,qq.com
m.youku.com,40,41,377,39.02439024,4.458885942,1.025,9.195121951,45.45038754,1390.636062,12654819.66,1376253.597,1,youku.com
www.youku.com,34,34,249,34,4.642570281,1,7.323529412,141.56806,279.9941776,19084.64706,2605.935743,1,youku.com
xsolid.baidu.com,11,13,176,9.307692308,0.960227273,1.181818182,13.53846154,91.13470721,396.5181706,151272.3846,11173.52841,1,baidu.com
upush.meizu.com,15,17,146,13.23529412,1.979452055,1.133333333,8.588235294,127.1320513,479.8793706,21979.64706,2559.273973,1,meizu.com
ark.qq.com,265,299,2380,234.8662207,37.56344538,1.128301887,7.959866221,58.06870792,1178.387826,297362.0769,37357.67269,1,qq.com
pic4.qiyipic.com,40,46,1021,34.7826087,2.072477963,1.15,22.19565217,59.78691452,981.498616,301221.8913,13571.21156,1,qiyipic.com
yunosdsp-img.alicdn.com,28,28,145,28,5.406896552,1,5.178571429,72.47480541,980.5580495,96809.75,18694.29655,1,alicdn.com
cards.iqiyi.com,23,23,199,23,2.658291457,1,8.652173913,110.62806,872.0785199,186318.6087,21534.31156,1,iqiyi.com
openapi-mobile.youku.com,31,32,211,30.03125,4.853080569,1.032258065,6.59375,143.6458853,445.7823961,31790.9375,4821.374408,1,youku.com
socol.amap.com,108,175,1739,66.65142857,17.6106958,1.62037037,9.937142857,130.5001707,226.7048624,13799.38286,1388.66705,1,amap.com
static.yximgs.com,53,54,436,52.01851852,6.688073394,1.018867925,8.074074074,50.79344193,1334.676881,1639782.37,203092.3119,1,yximgs.com
u3.ucweb.com,58,60,10595,56.06666667,0.339782916,1.034482759,176.5833333,77.65390612,752.3309895,1095578.733,6204.315621,1,ucweb.com
api.ksapisrv.com,55,58,2147,52.15517241,1.566837448,1.054545455,37.01724138,255.5738824,122.272901,54179.2931,1463.623195,1,ksapisrv.com
p72-ckdatabase.icloud.com,15,17,45,13.23529412,6.422222222,1.133333333,2.647058824,118.8935185,572.0038314,11803.23529,4459,1,icloud.com
aty.sohu.com,78,81,1678,75.11111111,3.910011919,1.038461538,20.71604938,162.8258322,269.4129878,38199.01235,1843.933254,1,sohu.com
config.51y5.net,54,55,209,53.01818182,14.47368421,1.018518519,3.8,196.0711111,216.2632411,9786.709091,2575.449761,1,51y5.net
f.360.cn,57,115,5126,28.25217391,2.579984393,2.01754386,44.57391304,232.5905997,173.1158349,108001.7652,2422.981467,1,360.cn
up1.uc.cn,16,16,137,16,1.868613139,1,8.5625,51.03075603,1353.508062,2470972,288580.6715,1,uc.cn
epro.sogou.com,14,14,75,14,2.613333333,1,5.357142857,230.9326923,481.1651584,44106.14286,8233.146667,1,sogou.com
addata.jd.com,15,15,58,15,3.879310345,1,3.866666667,164.9345048,520.7568093,24727.86667,6395.137931,1,jd.com
tbs.qq.com,289,353,3010,236.6033994,41.39833887,1.221453287,8.526912181,196.0303127,85.53312675,12022.8017,1409.983056,1,qq.com
e5.whatsapp.net,21,39,146,11.30769231,10.41780822,1.857142857,3.743589744,74.15483871,40,890.3076923,237.8219178,1,whatsapp.net
p65-sharedstreams.icloud.com,16,18,47,14.22222222,6.893617021,1.125,2.611111111,133.4471545,466.0286624,11777.16667,4510.404255,1,icloud.com
