Cluster, Domain, DomianType
Cluster 0, googlesyndication.com, -1
Cluster 0, 120askimages.com, -1
Cluster 0, itc.cn, -1
Cluster 0, 365yg.com, -1
Cluster 0, meitudata.com, -1
Cluster 0, uncentury.com, -1
Cluster 0, kakaocdn.net, -1
Cluster 0, ljcdn.com, -1
Cluster 0, cdngc.net, 0
Cluster 0, fbcdn.net, -1
Cluster 0, gccdn.net, -1
Cluster 0, qktoutiao.com, -1
Cluster 0, c-ctrip.com, -1
Cluster 0, iesdouyin.com, 0
Cluster 0, zcdsp.com, 0
Cluster 0, office365.com, -1
Cluster 0, zhibo8.cc, -1
Cluster 0, eastmoney.com, 0
Cluster 0, 360safe.com, -1
Cluster 0, hitv.com, -1
Cluster 0, youni.im, -1
Cluster 0, samsungfeed.com, -1
Cluster 0, 99.com.cn, -1
Cluster 0, bizport.cn, -1
Cluster 0, aaplimg.com, 0
Cluster 0, suning.com, -1
Cluster 0, inke.cn, -1
Cluster 0, 25pp.com, -1
Cluster 0, xiaohongshu.com, -1
Cluster 0, lizhi.fm, 0
Cluster 0, zuimeitianqi.com, -1
Cluster 0, qufenqi.com, -1
Cluster 0, vpimg4.com, -1
Cluster 0, mifile.cn, -1
Cluster 0, sbixby.com, -1
Cluster 0, 4399.com, -1
Cluster 0, weibo.com, -1
Cluster 0, qyer.com, -1
Cluster 0, izatcloud.net, 0
Cluster 0, naver.net, -1
Cluster 0, yystatic.com, -1
Cluster 0, 160.com, -1
Cluster 0, bdimg.com, 0
Cluster 0, uuuo.com, -1
Cluster 0, weather.com.cn, -1
Cluster 0, zto.cn, 1
Cluster 0, kt.com, -1
Cluster 0, xywy.com, -1
Cluster 0, 71edge.com, -1
Cluster 0, bdydns.com, -1
Cluster 0, ztjystore.cn, -1
Cluster 0, etouch.cn, -1
Cluster 0, maiyaole.com, -1
Cluster 0, ceair.com, 1
Cluster 0, rayjump.com, -1
Cluster 0, url.cn, 0
Cluster 0, bdstatic.com, 0
Cluster 0, zhimg.com, -1
Cluster 0, daumcdn.net, -1
Cluster 0, cmcm.com, -1
Cluster 0, jeppesen.com, -1
Cluster 0, n0808.com, -1
Cluster 0, douguo.net, -1
Cluster 0, 1sapp.com, -1
Cluster 0, ireader.com, -1
Cluster 0, office.com, -1
Cluster 0, qingcdn.com, -1
Cluster 0, skybluead.com, -1
Cluster 0, ks-cdn.com, -1
Cluster 0, yjs-cdn.com, -1
Cluster 0, hoopchina.com.cn, -1
Cluster 0, amazonaws.com, 0
Cluster 0, mgtv.com, 0
Cluster 0, vmallres.com, -1
Cluster 0, km.com, -1
Cluster 0, msstatic.com, -1
Cluster 0, 00cdn.com, -1
Cluster 0, ccgslb.com.cn, -1
Cluster 0, 360kan.com, 0
Cluster 0, kuwo.cn, 0
Cluster 0, idqqimg.com, -1
Cluster 0, pconline.com.cn, -1
Cluster 0, qiyipic.com, 0
Cluster 0, ugdtimg.com, -1
Cluster 0, ulmon.com, -1
Cluster 0, xiami.com, -1
Cluster 0, qnssl.com, -1
Cluster 0, kascend.com, -1
Cluster 0, msftncsi.com, -1
Cluster 0, wps.cn, -1
Cluster 0, 1234567.com.cn, -1
Cluster 0, alikunlun.com, 0
Cluster 0, ijinshan.com, -1
Cluster 0, tl88.net, -1
Cluster 0, qhres.com, -1
Cluster 0, xiaomi.cn, -1
Cluster 0, baidustatic.com, -1
Cluster 0, dengyanyu.com, -1
Cluster 0, qhimgs3.com, -1
Cluster 0, gtimg.com, 0
Cluster 0, baozoukanshu.com, -1
Cluster 0, kugou.com, 0
Cluster 0, nshc.net, -1
Cluster 0, vivo.com.cn, 0
Cluster 0, thsi.cn, -1
Cluster 0, flyasiana.com, -1
Cluster 0, yximgs.com, 0
Cluster 0, gionee.com, -1
Cluster 0, kgimg.com, -1
Cluster 0, cibntv.net, -1
Cluster 0, qhcdn.com, -1
Cluster 0, ksyuncdn.com, -1
Cluster 0, myapp.com, 0
Cluster 0, momocdn.com, -1
Cluster 0, sinaimg.cn, 0
Cluster 0, kunlunpi.com, -1
Cluster 0, amemv.com, -1
Cluster 0, gmw.cn, -1
Cluster 0, sto.cn, -1
Cluster 0, cloudfront.net, -1
Cluster 0, dongtu.com, -1
Cluster 0, oppomobile.com, 0
Cluster 0, toutiao.com, 0
Cluster 0, xmcdn.com, 0
Cluster 0, uczzd.cn, -1
Cluster 0, qq.com, 0
Cluster 0, meituan.net, 0
Cluster 0, unity3d.com, -1
Cluster 0, sunmi.com, 1
Cluster 0, ahnlab.com, -1
Cluster 0, ykimg.com, -1
Cluster 0, ntalker.com, -1
Cluster 0, wsglb0.com, -1
Cluster 0, googleadservices.com, -1
Cluster 0, ourdvs.com, -1
Cluster 0, huya.com, -1
Cluster 0, snow.me, -1
Cluster 0, didapinche.com, -1
Cluster 0, gtimg.cn, 0
Cluster 0, akamaiedge.net, -1
Cluster 0, ludashi.com, -1
Cluster 0, ixiguavideo.com, -1
Cluster 0, uc.cn, 0
Cluster 0, dianhua.cn, -1
Cluster 0, elemecdn.com, -1
Cluster 0, xcar.com.cn, -1
Cluster 0, 3566ad.com, -1
Cluster 0, jomodns.com, -1
Cluster 0, ourglb0.com, -1
Cluster 0, iboxpay.com, 1
Cluster 0, 11222.cn, -1
Cluster 0, quanmin.tv, -1
Cluster 0, tingyun.com, -1
Cluster 0, qlogo.cn, 0
Cluster 0, xiami.net, 0
Cluster 0, icloud.com, 0
Cluster 0, china.cn, -1
Cluster 0, alikunlun.net, -1
Cluster 0, 4sqi.net, -1
Cluster 0, dwstatic.com, -1
Cluster 0, pstatic.net, 0
Cluster 0, apple.com, 0
Cluster 0, baiduyundns.com, -1
Cluster 0, diatiantian.com, -1
Cluster 0, igetget.com, -1
Cluster 0, taboola.com, -1
Cluster 0, panda.tv, -1
Cluster 0, huanqiu.com, -1
Cluster 0, alipayobjects.com, -1
Cluster 0, didialift.com, -1
Cluster 0, sm-tc.cn, -1
Cluster 0, dbankcdn.com, -1
Cluster 0, mipcdn.com, -1
Cluster 0, autohome.com.cn, -1
Cluster 0, mafengwo.net, -1
Cluster 0, qhimg.com, -1
Cluster 0, ad-brix.com, -1
Cluster 0, vungle.cn, -1
Cluster 0, miaopai.com, -1
Cluster 0, loveota.com, -1
Cluster 0, corp3g.cn, -1
Cluster 0, zampdsp.com, -1
Cluster 0, 2345.com, -1
Cluster 0, qpic.cn, 0
Cluster 0, mi-img.com, -1
Cluster 0, coloros.com, -1
Cluster 0, snssdk.com, 0
Cluster 0, pptv.com, -1
Cluster 0, wifi8.com, -1
Cluster 0, guahao.cn, -1
Cluster 0, 126.net, 0
Cluster 0, dfcfw.com, -1
Cluster 0, wsdvs.com, -1
Cluster 0, samsungapps.com, -1
Cluster 0, wni.com, -1
Cluster 0, sinajs.cn, -1
Cluster 0, duba.com, -1
Cluster 0, kunlunle.com, -1
Cluster 0, imxingzhe.com, -1
Cluster 0, xiaomi.com, 0
Cluster 0, yidianzixun.com, -1
Cluster 0, okcashbag.com, -1
Cluster 0, wpscdn.cn, -1
Cluster 0, woewr.cn, -1
Cluster 0, jdcdn.com, -1
Cluster 0, go2yd.com, -1
Cluster 0, 360buyimg.com, -1
Cluster 0, game-mode.net, -1
Cluster 0, ifengimg.com, -1
Cluster 0, myzaker.com, -1
Cluster 0, 10086.cn, -1
Cluster 0, lenovo.com.cn, -1
Cluster 0, bookapi.cn, -1
Cluster 0, cnitcloud.com, -1
Cluster 0, navercdn.com, 0
Cluster 0, kingsoft.com, -1
Cluster 0, dnsv1.com, -1
Cluster 0, here.com, -1
Cluster 0, alicdn.com, 0
Cluster 0, xcarimg.com, -1
Cluster 0, qingting.fm, 0
Cluster 0, zol-img.com.cn, -1
Cluster 0, gpsonextra.net, 0
Cluster 0, babytreeimg.com, -1
Cluster 0, sczsie.com, -1
Cluster 0, gvt1.com, -1
Cluster 0, hellobanma.com, -1
Cluster 0, ucweb.com, 0
Cluster 0, shangz99991.com, 1
Cluster 0, weiyun.com, -1
Cluster 0, sfx.ms, -1
Cluster 0, dable.io, -1
Cluster 0, toastoven.net, -1
Cluster 0, myqcloud.com, -1
Cluster 0, etoote.com, 1
Cluster 0, hdslb.com, -1
Cluster 0, feidee.com, -1
Cluster 0, aiyounet.cn, -1
Cluster 0, youku.com, 0
Cluster 0, huoshan.com, -1
Cluster 0, letvimg.com, -1
Cluster 0, jinshuju.net, -1
Cluster 0, ccb.com, 1
Cluster 0, pstatp.com, 0
Cluster 0, muwuya.com, -1
Cluster 0, kwimgs.com, -1
Cluster 0, bilibili.com, -1
Cluster 0, glpals.com, -1
Cluster 0, windowsupdate.com, 0
Cluster 0, carcdn.com, -1
Cluster 0, wgewj.cn, -1
Cluster 0, nearme.com.cn, 0
Cluster 0, 58cdn.com.cn, -1
Cluster 0, dpfile.com, -1
Cluster 0, 360kad.com, -1
Cluster 0, cmcc-cs.cn, 1
Cluster 0, ixigua.com, -1
Cluster 0, 51taifu.com, -1
Cluster 0, daum.net, -1
Cluster 0, sina.cn, 0
Cluster 0, hubpd.com, -1
Cluster 0, flxdns.com, -1
Cluster 0, 500.com, -1
Cluster 0, 127.net, 0
Cluster 0, 17u.cn, -1
Cluster 0, haiwainet.cn, -1
Cluster 0, kunlunhuf.com, -1
Cluster 0, cjyun.org, -1
Cluster 0, mediatek.com, 0
Cluster 0, smtcdns.com, -1
Cluster 0, akamai.net, 0
Cluster 0, ourwebpic.com, -1
Cluster 0, txslicai.com, -1
Cluster 0, microsoft.com, -1
Cluster 0, douyucdn.cn, 0
Cluster 0, duokan.com, -1
Cluster 0, kaspersky.com, -1
Cluster 0, bcebos.com, -1
Cluster 0, chinamobile.com, -1
Cluster 0, samsungiotcloud.cn, -1
Cluster 0, yangkeduo.com, 0
Cluster 0, bytecdn.cn, -1
Cluster 0, netease.com, 0
Cluster 0, appsimg.com, -1
Cluster 0, smucdn.com, -1
Cluster 0, aipai.com, -1
Cluster 0, udesk.cn, -1
Cluster 0, trendmicro.com, -1
Cluster 0, mzstatic.com, -1
Cluster 0, baiducontent.com, 0
Cluster 0, nheos.com, -1
Cluster 0, gzlzfm.com, -1
Cluster 0, hicloud.com, 0
Cluster 1, 5iretail.com, -1
Cluster 1, zjoyvd.com, 1
Cluster 2, ofo.so, 1
Cluster 2, qijigps.com, -1
Cluster 3, samsungcloud.com, 0
Cluster 3, co.kr, -1
Cluster 3, bldimg.com, 0
Cluster 3, yocaly.com, 1
Cluster 3, ungps.com, 1
Cluster 3, analysys.cn, -1
Cluster 3, amplitude.com, -1
Cluster 3, dingtalk.com, 0
Cluster 3, icloud-content.com, -1
Cluster 3, upqzfile.com, -1
Cluster 3, diditaxi.com.cn, -1
Cluster 3, iclick.com.cn, -1
Cluster 3, qiniu.com, 1
Cluster 3, naver.com, 0
Cluster 4, zhimoo.com, 1
Cluster 4, rokyinfo.net, -1
Cluster 4, xj-online.com, 1
Cluster 4, line-scdn.net, -1
Cluster 4, jlmgps.com, -1
Cluster 4, google.com, -1
Cluster 4, 17sxin.com, -1
Cluster 4, newrelic.com, -1
Cluster 4, yq1d.com, 1
Cluster 4, gentags.net, -1
Cluster 4, tanway.cn, -1
Cluster 4, zt-express.com, -1
Cluster 4, iotts.net, 1
Cluster 4, idatachina.com, 1
Cluster 4, tmall.com, -1
Cluster 4, adnxs.com, -1
Cluster 4, eyerising.com, 1
Cluster 4, so.com, -1
Cluster 4, fleety.com, 1
Cluster 4, g7smart.com, -1
Cluster 4, windows.com, 0
Cluster 4, edaoduo.com, -1
Cluster 4, ppmoney.com, 1
Cluster 4, vipcare.com, -1
Cluster 4, sjtu.edu.cn, -1
Cluster 4, ecarcloud.net, -1
Cluster 4, ktcarnet.com, 1
Cluster 4, 91isv.cn, -1
Cluster 4, googletagmanager.com, -1
Cluster 4, sinobds.cn, 1
Cluster 4, appspot.com, -1
Cluster 4, fuwo.com, -1
Cluster 4, morefun-et.com, 1
Cluster 4, cgqc.cn, -1
Cluster 4, bluegogo.com, 1
Cluster 4, zenlane.com, 1
Cluster 4, redstone.net.cn, 0
Cluster 4, topsail-iot.com, -1
Cluster 4, gpsxitong.com, 0
Cluster 4, ntp.org.cn, 0
Cluster 4, gmail.com, -1
Cluster 4, inmobi.com, -1
Cluster 4, appsflyer.com, -1
Cluster 4, dian.so, 1
Cluster 4, duapps.com, -1
Cluster 4, sina.com, 0
Cluster 4, baoxingtech.com, -1
Cluster 4, suianbo.cn, 1
Cluster 4, wostore.cn, -1
Cluster 4, bfgps.com, -1
Cluster 4, kirinclouds.com, -1
Cluster 4, gps903.net, 1
Cluster 4, app-measurement.com, -1
Cluster 4, 70mai.com.cn, 1
Cluster 4, zemt.cn, 1
Cluster 4, cvnavi.com, 1
Cluster 4, yichebang.net, 1
Cluster 4, growingio.com, -1
Cluster 4, tianxing.com, 1
Cluster 4, zol.com.cn, -1
Cluster 4, blibee.com, -1
Cluster 4, ivmc.net, -1
Cluster 4, shinemonitor.com, -1
Cluster 4, aiqiangua.com, 1
Cluster 4, lbs-simcom.com, -1
Cluster 4, zhihusan.cn, -1
Cluster 4, ctrip.com, -1
Cluster 4, 58995899.net, 1
Cluster 4, 9jodia.net, 1
Cluster 4, matocloud.com, -1
Cluster 4, eftpay.com.cn, 1
Cluster 4, yusong.com.cn, 1
Cluster 4, googleapis.cn, 0
Cluster 4, tongdun.net, -1
Cluster 4, beidou360.org, 1
Cluster 4, easy-pay.com.cn, 1
Cluster 4, gps110.org, 1
Cluster 4, yuyugps.com, -1
Cluster 4, tanway.net, 1
Cluster 4, teld.cn, 1
Cluster 4, xunwaytech.com, 1
Cluster 4, haro-sh.cn, 1
Cluster 4, tcnvmms.com, 1
Cluster 4, gps669.net, -1
Cluster 4, chinacityguard.com.cn, 1
Cluster 4, lakala.com, 1
Cluster 4, alibabadns.com, 0
Cluster 4, shouqiev.com, 1
Cluster 4, alipaydns.com, 0
Cluster 4, fullway.com.cn, 1
Cluster 4, wlaa.com.cn, 1
Cluster 4, weibo.cn, -1
Cluster 4, shjgj.gov.cn, 1
Cluster 4, irs01.com, 1
Cluster 4, kartor.cn, 1
Cluster 4, iyoulia.com, 1
Cluster 4, dianping.com, 0
Cluster 4, ksyun.com, -1
Cluster 4, wicp.net, -1
Cluster 4, 50yaya.com, 1
Cluster 4, hp888.com, -1
Cluster 4, bydauto.com.cn, 1
Cluster 4, jiguang.cn, -1
Cluster 4, axxc.cn, -1
Cluster 4, bangoplus.com, 1
Cluster 4, geni4s.com, 1
Cluster 4, zhonghang-gprs.com, 1
Cluster 4, jambocloud.com, 1
Cluster 4, xxhszx.com, -1
Cluster 4, smartisan.com, 1
Cluster 4, ubox.cn, 1
Cluster 4, suibianzhua.com, 1
Cluster 4, outlook.com, -1
Cluster 4, wiselbs.cn, 0
Cluster 4, aliyuncs.com, 0
Cluster 4, cvtsp.com, 1
Cluster 4, hotmail.com, -1
Cluster 4, kugou.net, -1
Cluster 4, lixms.com, -1
Cluster 4, zillionsource.com, 1
Cluster 4, niu.com, 1
Cluster 4, qm.cn, 1
Cluster 4, zjs.com.cn, 1
Cluster 4, yahoo.com, -1
Cluster 4, gstarworld.com.cn, 1
Cluster 4, kingwings.cn, 1
Cluster 4, symcd.com, -1
Cluster 4, firecc.cn, 1
Cluster 4, feieyun.cn, -1
Cluster 4, icbc.com.cn, 1
Cluster 4, supersoco.com, 1
Cluster 4, gps009.cc, 1
Cluster 4, china-gis.com, -1
Cluster 4, 02rc.com, -1
Cluster 4, gps112.com, 1
Cluster 4, 952100.com, -1
Cluster 4, e22a.com, -1
