Cluster, Domain, Lof, DomianType
Cluster 0, flickr.com, 0.6855464366063468, -1
Cluster 0, zol.com.cn, 0.7218522826212169, -1
Cluster 0, smartisan.com, 0.7256531574829992, 1
Cluster 0, chelianjk.com, 0.726541381142716, 1
Cluster 0, v2ex.co, 0.7313380811132236, -1
Cluster 0, appspot.com, 0.732587192946872, -1
Cluster 0, huawei.com, 0.7339877958090126, 0
Cluster 0, mob.com, 0.7364518957518114, 1
Cluster 0, agps.top, 0.7372791307782464, -1
Cluster 0, moootooo.com, 0.7383604457944687, -1
Cluster 0, vicp.io, 0.7385582341865169, -1
Cluster 0, ctreader.com, 0.7394373264068497, -1
Cluster 0, line-scdn.net, 0.7400009111049949, -1
Cluster 0, oupeng.com, 0.7400714419584256, -1
Cluster 0, zemt.cn, 0.7401225808407031, 1
Cluster 0, exiu99.com, 0.7407735555357245, -1
Cluster 0, 91kulala.com, 0.7412815549070413, 1
Cluster 0, trip.com, 0.7425576666254953, 0
Cluster 0, apple.cn, 0.7441411753564169, -1
Cluster 0, i-carlink.cn, 0.7447643855939041, -1
Cluster 0, gmyun.net, 0.7449703409243611, -1
Cluster 0, 810880.com, 0.7450009339657659, 1
Cluster 0, xicp.net, 0.7460318683058024, 0
Cluster 0, juneyaoair.com, 0.7466942201510757, 1
Cluster 0, ktcarnet.com, 0.7470037827524928, 1
Cluster 0, gps009.cc, 0.7470048308013225, 1
Cluster 0, goo.gl, 0.7471038261187468, 0
Cluster 0, 58.com, 0.7472586936036557, 0
Cluster 0, unimarspay.com, 0.7478177450814225, 1
Cluster 0, xunlei.com, 0.7491580106875572, -1
Cluster 0, zk2013.com, 0.7504217612854087, 1
Cluster 0, watretgps.com, 0.7524073990369855, -1
Cluster 0, ksmobile.com, 0.7530798391043763, 1
Cluster 0, dkwgps.com, 0.7534409731022964, 1
Cluster 0, eftpay.com.cn, 0.7535965703053132, 1
Cluster 0, senthink.com, 0.7537144314414446, 1
Cluster 0, aicares.net, 0.7537445386687602, 1
Cluster 0, autonavi.com, 0.7537949971866367, 0
Cluster 0, sxdl518.com, 0.7547629917573683, 1
Cluster 0, meizu.com, 0.7548249940047616, 0
Cluster 0, eleme.cn, 0.7553639940676276, -1
Cluster 0, 51xgame.com, 0.7562738718775082, 0
Cluster 0, sinotruksfs.com, 0.7564838952799732, 1
Cluster 0, e-bus.cc, 0.7569339972449975, 1
Cluster 0, rcc086.com, 0.7569339972449975, 1
Cluster 0, bing.net, 0.7569839138602269, -1
Cluster 0, branch.io, 0.7577828327585634, -1
Cluster 0, lfengmobile.com, 0.7578672460942577, -1
Cluster 0, samqaicongen.com, 0.7585461055359936, -1
Cluster 0, gpscore.net, 0.7593057263744287, -1
Cluster 0, crashlytics.com, 0.7597500252480833, -1
Cluster 0, solarmanpv.com, 0.7600757637982765, -1
Cluster 0, u12580.com, 0.7604205116636671, 1
Cluster 0, ofo.com, 0.7604888944548115, -1
Cluster 0, widerplanet.com, 0.7607282392950401, -1
Cluster 0, 100-bike.com, 0.7609570302105685, 1
Cluster 0, gps18.com, 0.7614246882863949, 0
Cluster 0, 4sjzfw.net, 0.7614259874656932, 1
Cluster 0, chengduhuanxingshan.com, 0.761864256854531, -1
Cluster 0, windows.com, 0.7625179753053011, 0
Cluster 0, cc9996.com, 0.7630692201806049, 1
Cluster 0, xiaomi.net, 0.7631488220981282, 0
Cluster 0, hwawo.com, 0.7639168182636272, 1
Cluster 0, lnbeidou.net, 0.7640167336931835, -1
Cluster 0, duapps.com, 0.7640182530318944, -1
Cluster 0, cozzia.com.cn, 0.7640284978284351, 1
Cluster 0, openspeech.cn, 0.7640957057293998, 0
Cluster 0, wpsmail.net, 0.7643783251582826, -1
Cluster 0, ksmobile.net, 0.7643783251582826, -1
Cluster 0, wuxianled.com, 0.7643942546545728, 1
Cluster 0, alibaba.com, 0.7644995961921495, -1
Cluster 0, ve-link.com, 0.764618529030851, 1
Cluster 0, chinaums.com, 0.7649124697929084, 1
Cluster 0, huasu.net, 0.7651530082875005, 1
Cluster 0, xuanmo.me, 0.7655532763227522, -1
Cluster 0, smten.com, 0.7659399630277293, 1
Cluster 0, smartshared.cn, 0.7668215618321781, 1
Cluster 0, live.com, 0.7669395620996763, -1
Cluster 0, cnzz.com, 0.7671813666596258, 0
Cluster 0, cvtsp.com, 0.7681150967830771, 1
Cluster 0, jpush.io, 0.7681397460945684, 0
Cluster 0, yunfandns.com, 0.7685082469339053, -1
Cluster 0, dimiccs.com, 0.7685082469339053, -1
Cluster 0, g.cn, 0.7685136160118005, 0
Cluster 0, jpush.cn, 0.7687134731961512, 0
Cluster 0, weather.com, 0.7687408155944336, -1
Cluster 0, abchina.com, 0.7687408155944336, 1
Cluster 0, ecitic.com, 0.768841256481809, -1
Cluster 0, mplink.cn, 0.7694192831911949, 1
Cluster 0, weitepai.com, 0.7694192831911949, 1
Cluster 0, ht-solar.com, 0.7694791809670324, 1
Cluster 0, gpsxitong.com, 0.7696506855796008, 0
Cluster 0, ydnest.com, 0.7698240790288595, 1
Cluster 0, mk-dog.com, 0.7703291063188578, -1
Cluster 0, wasu.tv, 0.7708751870603051, 0
Cluster 0, suibianzhua.com, 0.7710681535498064, 1
Cluster 0, vvfind.net, 0.7714351568390363, 1
Cluster 0, myoppo.com, 0.771823309478024, -1
Cluster 0, 91miaogu.com, 0.7722806395815802, 1
Cluster 0, basegps.com, 0.7724098283205241, -1
Cluster 0, izhangkong.com, 0.7725868286921356, 1
Cluster 0, counect.com, 0.773066141224979, -1
Cluster 0, ztitek.com, 0.7732107516590782, -1
Cluster 0, larcloud.com, 0.7733879528517532, -1
Cluster 0, intestdriver.com, 0.7739834314233947, 0
Cluster 0, focus-dream.com, 0.7741627105459293, -1
Cluster 0, qidian.com, 0.7743272581996546, -1
Cluster 0, amap.com, 0.7743272581996548, 0
Cluster 0, yjm2m.com, 0.7748709106279681, -1
Cluster 0, 51qianba.cn, 0.7749097689441893, -1
Cluster 0, nict.jp, 0.7753884734389993, -1
Cluster 0, chinahiron.com, 0.7754151230354193, -1
Cluster 0, bbobo.com, 0.775488321504216, -1
Cluster 0, demdex.net, 0.7759554259152699, -1
Cluster 0, mediav.com, 0.7765787639141006, -1
Cluster 0, kunlunca.com, 0.7767681687086675, -1
Cluster 0, ppmoney.com, 0.777116588815377, 1
Cluster 0, imibaby.net, 0.777117196099727, 1
Cluster 0, umengcloud.com, 0.77727510521338, 0
Cluster 0, aispeech.com, 0.77727510521338, -1
Cluster 0, 51y5.net, 0.77727510521338, 0
Cluster 0, neixin.cn, 0.7775741431804126, 1
Cluster 0, ksapisrv.com, 0.7776874531649451, 0
Cluster 0, motree.cn, 0.7780440970501962, -1
Cluster 0, ehoo-smart.cn, 0.7780741860104325, -1
Cluster 0, hshh.org, 0.7781832550844108, -1
Cluster 0, u-blox.com, 0.7786320321560992, -1
Cluster 0, bdgps168.com, 0.7787822954913155, -1
Cluster 0, szzhaona.net, 0.7788770345921232, -1
Cluster 0, ucalgary.ca, 0.7788770345921232, 0
Cluster 0, karaku.cn, 0.7791626248583412, 1
Cluster 0, ntp.org.cn, 0.7792606328797096, 0
Cluster 0, jointcontrols.cn, 0.7792720411629335, 1
Cluster 0, jambocloud.com, 0.7796014173711241, 1
Cluster 0, bfgps.net.cn, 0.7797070787951645, 1
Cluster 0, t-vom.com, 0.7797261437726613, 1
Cluster 0, dayu.com, 0.779852619080472, -1
Cluster 0, 618gps.com, 0.780264148721583, 1
Cluster 0, appjiagu.com, 0.7803306018469115, -1
Cluster 0, cetgps3.com, 0.7804372794454791, 1
Cluster 0, eeiot.cn, 0.7805967638650771, 1
Cluster 0, midrive.com.cn, 0.7811473732074965, 1
Cluster 0, qdong365.com.cn, 0.7811704117074654, 1
Cluster 0, intel.com, 0.7816767082639016, -1
Cluster 0, 163.com, 0.7818207835541684, 0
Cluster 0, zhangyue.com, 0.7819110025834721, -1
Cluster 0, gentags.net, 0.7823034470338552, -1
Cluster 0, 99bill.com, 0.7823034470338552, 1
Cluster 0, vsmart.top, 0.7824699340041009, 1
Cluster 0, miaofutech.com, 0.7826626677323658, 1
Cluster 0, yilan.tv, 0.7827865786133699, -1
Cluster 0, adbgps.com, 0.7828895512068837, -1
Cluster 0, spc.com.cn, 0.7829122553183705, 1
Cluster 0, horebtech.net, 0.7830770814142684, 1
Cluster 0, fastlinkchina.com, 0.7830785397497706, 1
Cluster 0, haro-sh.cn, 0.7830855203433432, 1
Cluster 0, landfone.cn, 0.7833408665168241, -1
Cluster 0, mcgps.cn, 0.7834937546926372, -1
Cluster 0, weibo.cn, 0.7835096952280122, -1
Cluster 0, duowan.com, 0.7835412186244317, -1
Cluster 0, coldwang.com, 0.7836475344638609, 1
Cluster 0, zhangshangyuebing.com, 0.7837811848964693, 1
Cluster 0, aliyun-inc.com, 0.7838549333166198, -1
Cluster 0, taiyangos.com, 0.7838919773508043, 1
Cluster 0, sirf.com, 0.7840921553882472, -1
Cluster 0, 4007106666.com, 0.7842898064873539, 1
Cluster 0, ksf.com.cn, 0.7844403033657956, 1
Cluster 0, sealan-tech.com, 0.7845227748738279, -1
Cluster 0, onemilea.com, 0.7845227748738279, -1
Cluster 0, liebaozhaoche.cn, 0.7845303790070876, -1
Cluster 0, echepin.cn, 0.7847422129911872, -1
Cluster 0, hwxcar.com, 0.7848064687119931, -1
Cluster 0, mission-ciyco.com, 0.7849583036234644, 1
Cluster 0, leancloud.cn, 0.78499016017281, -1
Cluster 0, 1931.com, 0.7850932467748102, -1
Cluster 0, nate.com, 0.7851697016824589, -1
Cluster 0, qstaxi.net, 0.7853721227044843, -1
Cluster 0, itunes.com, 0.7853721227044843, -1
Cluster 0, gps688.com, 0.7853736621939198, 1
Cluster 0, geni4s.com, 0.7853893352519602, 1
Cluster 0, dfmc.com.cn, 0.7857330600358493, 1
Cluster 0, getqood.com, 0.785733559624733, 1
Cluster 0, bodentech.com, 0.7857929959940242, -1
Cluster 0, intestcar.com, 0.7860941555153407, 1
Cluster 0, boorgeel.com, 0.7862549373652451, -1
Cluster 0, gsm110.com, 0.7862910036353415, -1
Cluster 0, mwcloudcdn.com, 0.7863057912503366, -1
Cluster 0, 008gps.com, 0.7864493464522339, 0
Cluster 0, easytomessage.com, 0.7864538031645681, -1
Cluster 0, hzjly.cn, 0.7865331246950947, 1
Cluster 0, duoyue.net, 0.7866214837006835, 1
